Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,DrowsinessLevel,ReactionTime,Distance,Action
0.565,entering_flow.0,0.247,No,N/A,N/A,N/A,N/A,N/A,NoAlert
0.665,entering_flow.0,0.497,No,N/A,N/A,N/A,N/A,N/A,NoAlert
0.765,entering_flow.0,0.728,No,N/A,N/A,N/A,N/A,N/A,NoAlert
0.865,entering_flow.0,0.960,No,N/A,N/A,N/A,N/A,N/A,NoAlert
0.965,entering_flow.0,1.216,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.065,entering_flow.0,1.429,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.165,entering_flow.0,1.635,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.265,entering_flow.0,1.842,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.365,entering_flow.0,2.090,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.465,entering_flow.0,2.292,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.565,entering_flow.0,2.501,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.665,entering_flow.0,2.699,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.765,entering_flow.0,2.840,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.865,entering_flow.0,2.974,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.965,entering_flow.0,3.205,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.065,entering_flow.0,3.426,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.165,entering_flow.0,3.636,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.265,entering_flow.0,3.780,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.365,entering_flow.0,3.998,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.465,entering_flow.0,4.176,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.565,entering_flow.0,4.368,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.665,entering_flow.0,4.545,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.765,entering_flow.0,4.725,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.865,entering_flow.0,4.931,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.965,entering_flow.0,5.129,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.065,entering_flow.0,5.378,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.165,entering_flow.0,5.552,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.265,entering_flow.0,5.770,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.365,entering_flow.0,6.014,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.465,entering_flow.0,6.273,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.565,entering_flow.0,6.480,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.665,entering_flow.0,6.612,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.765,entering_flow.0,6.829,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.865,entering_flow.0,7.079,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.965,entering_flow.0,7.251,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.046,entering_flow.0,7.445,Yes,Warning,drowsy_driver,0.625,1.750,73.340,SlightSpeedReduction
4.106,entering_flow.0,6.995,Yes,Warning,drowsy_driver,0.655,1.810,75.233,SlightSpeedReduction
4.246,entering_flow.0,6.545,Yes,Warning,drowsy_driver,0.660,1.821,77.194,SlightSpeedReduction
