Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,DrowsinessLevel,ReactionTime,Distance,Action
8.106,normal_flow.2,0.000,Yes,Critical,drowsy_driver,1.000,2.500,207.375,Ignored
8.246,normal_flow.2,0.257,Yes,Critical,drowsy_driver,1.000,2.500,210.624,Ignored
8.306,normal_flow.2,0.508,Yes,Critical,drowsy_driver,1.000,2.500,213.864,Ignored
8.446,normal_flow.2,0.750,Yes,Critical,drowsy_driver,1.000,2.500,217.101,Ignored
8.506,normal_flow.2,1.008,Yes,Critical,drowsy_driver,1.000,2.500,220.318,Ignored
8.646,normal_flow.2,1.222,Yes,Critical,drowsy_driver,1.000,2.500,223.516,Ignored
8.706,normal_flow.2,1.481,Yes,Critical,drowsy_driver,1.000,2.500,226.700,Ignored
8.846,normal_flow.2,1.681,Yes,Critical,drowsy_driver,1.000,2.500,229.847,Ignored
8.906,normal_flow.2,1.901,Yes,Critical,drowsy_driver,1.000,2.500,232.977,Ignored
9.046,normal_flow.2,2.105,Yes,Critical,drowsy_driver,1.000,2.500,236.087,Ignored
9.106,normal_flow.2,2.262,Yes,Critical,drowsy_driver,1.000,2.500,239.189,Ignored
9.246,normal_flow.2,2.489,Yes,Critical,drowsy_driver,1.000,2.500,242.265,Ignored
9.306,normal_flow.2,2.644,Yes,Critical,drowsy_driver,1.000,2.500,245.329,Ignored
9.446,normal_flow.2,2.843,Yes,Critical,drowsy_driver,1.000,2.500,248.365,Ignored
9.506,normal_flow.2,3.094,Yes,Critical,drowsy_driver,1.000,2.500,251.380,Ignored
9.646,normal_flow.2,3.227,Yes,Critical,drowsy_driver,1.000,2.500,254.378,Ignored
9.706,normal_flow.2,3.400,Yes,Critical,drowsy_driver,1.000,2.500,257.363,Ignored
9.846,normal_flow.2,3.651,Yes,Critical,drowsy_driver,1.000,2.500,260.330,Ignored
9.906,normal_flow.2,3.882,Yes,Critical,drowsy_driver,1.000,2.500,263.263,Ignored
10.046,normal_flow.2,4.043,Yes,Critical,drowsy_driver,1.000,2.500,266.173,Ignored
10.106,normal_flow.2,4.226,Yes,Critical,drowsy_driver,1.000,2.500,269.064,Ignored
10.246,normal_flow.2,4.390,Yes,Critical,drowsy_driver,1.000,2.500,271.949,Ignored
10.306,normal_flow.2,4.552,Yes,Critical,drowsy_driver,1.000,2.500,274.819,Ignored
10.446,normal_flow.2,4.723,Yes,Critical,drowsy_driver,1.000,2.500,277.672,Ignored
10.506,normal_flow.2,4.865,Yes,Critical,drowsy_driver,1.000,2.500,280.514,Ignored
10.646,normal_flow.2,5.059,Yes,Critical,drowsy_driver,1.000,2.500,283.325,Ignored
10.706,normal_flow.2,5.285,Yes,Critical,drowsy_driver,1.000,2.500,286.124,Ignored
10.846,normal_flow.2,5.452,Yes,Critical,drowsy_driver,1.000,2.500,288.906,Ignored
10.906,normal_flow.2,5.611,Yes,Critical,drowsy_driver,1.000,2.500,291.668,Ignored
11.046,normal_flow.2,5.789,Yes,Critical,drowsy_driver,1.000,2.500,294.406,Ignored
11.106,normal_flow.2,6.009,Yes,Critical,drowsy_driver,1.000,2.500,297.126,Ignored
11.246,normal_flow.2,6.203,Yes,Critical,drowsy_driver,1.000,2.500,299.818,Ignored
11.306,normal_flow.2,6.455,Yes,Critical,drowsy_driver,1.000,2.500,302.500,Ignored
11.446,normal_flow.2,6.616,Yes,Critical,drowsy_driver,1.000,2.500,305.155,Ignored
11.506,normal_flow.2,6.849,Yes,Critical,drowsy_driver,1.000,2.500,307.796,Ignored
