Time,DrowsinessLevel,AlertType
0.286,0.017,0
0.386,0.056,0
0.486,0.061,0
0.586,0.109,0
0.686,0.127,0
0.786,0.151,0
0.886,0.162,0
0.986,0.197,0
1.086,0.213,0
1.186,0.219,0
1.286,0.211,0
1.386,0.233,0
1.486,0.277,0
1.586,0.285,0
1.686,0.310,0
1.786,0.295,0
1.886,0.274,0
1.986,0.257,0
2.086,0.276,0
2.186,0.270,0
2.286,0.270,0
2.386,0.273,0
2.486,0.299,0
2.586,0.310,0
2.686,0.287,0
2.786,0.272,0
2.886,0.314,0
2.986,0.341,0
3.086,0.386,0
3.186,0.386,0
3.286,0.424,0
3.386,0.441,0
3.486,0.468,0
3.586,0.516,0
3.686,0.559,0
3.786,0.585,0
3.886,0.583,0
3.986,0.625,1
4.086,0.655,1
4.186,0.660,1
4.286,0.690,1
