Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,DrowsinessLevel,ReactionTime,Distance,Action
0.565,entering_flow.0,0.247,No,N/A,N/A,N/A,N/A,N/A,NoAlert
0.665,entering_flow.0,0.497,No,N/A,N/A,N/A,N/A,N/A,NoAlert
0.765,entering_flow.0,0.728,No,N/A,N/A,N/A,N/A,N/A,NoAlert
0.865,entering_flow.0,0.960,No,N/A,N/A,N/A,N/A,N/A,NoAlert
0.965,entering_flow.0,1.216,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.065,entering_flow.0,1.429,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.165,entering_flow.0,1.635,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.265,entering_flow.0,1.842,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.365,entering_flow.0,2.090,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.465,entering_flow.0,2.292,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.565,entering_flow.0,2.501,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.665,entering_flow.0,2.699,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.765,entering_flow.0,2.840,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.865,entering_flow.0,2.974,No,N/A,N/A,N/A,N/A,N/A,NoAlert
1.965,entering_flow.0,3.205,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.065,entering_flow.0,3.426,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.165,entering_flow.0,3.636,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.265,entering_flow.0,3.780,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.365,entering_flow.0,3.998,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.465,entering_flow.0,4.176,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.565,entering_flow.0,4.368,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.646,entering_flow.0,4.545,Yes,Warning,drowsy_driver,0.621,1.741,47.262,SlightSpeedReduction
2.706,entering_flow.0,4.095,Yes,Warning,drowsy_driver,0.623,1.747,49.232,SlightSpeedReduction
2.846,entering_flow.0,3.645,Yes,Warning,drowsy_driver,0.639,1.779,51.256,SlightSpeedReduction
2.906,entering_flow.0,3.195,Yes,Warning,drowsy_driver,0.644,1.787,53.340,SlightSpeedReduction
3.046,entering_flow.0,2.745,Yes,Warning,drowsy_driver,0.658,1.816,55.484,SlightSpeedReduction
3.106,entering_flow.0,2.295,Yes,Warning,drowsy_driver,0.705,1.910,57.698,SlightSpeedReduction
3.246,entering_flow.0,1.845,Yes,Warning,drowsy_driver,0.742,1.984,59.973,SlightSpeedReduction
3.306,entering_flow.0,1.476,Yes,Warning,drowsy_driver,0.744,1.988,62.299,SlightSpeedReduction
3.446,entering_flow.0,1.181,Yes,Warning,drowsy_driver,0.774,2.047,64.665,SlightSpeedReduction
3.506,entering_flow.0,0.945,Yes,Critical,drowsy_driver,0.812,2.125,67.063,CriticalSpeedReduction
3.646,entering_flow.0,0.495,Yes,Critical,drowsy_driver,0.824,2.149,69.516,CriticalSpeedReduction
3.706,entering_flow.0,0.247,Yes,Critical,drowsy_driver,0.860,2.221,72.011,CriticalSpeedReduction
3.846,entering_flow.0,0.124,Yes,Critical,drowsy_driver,0.895,2.290,74.536,CriticalSpeedReduction
3.906,entering_flow.0,0.062,Yes,Critical,drowsy_driver,0.926,2.351,77.076,CriticalSpeedReduction
4.046,entering_flow.0,0.031,Yes,Critical,drowsy_driver,0.959,2.418,79.645,CriticalSpeedReduction
4.106,entering_flow.0,0.015,Yes,Critical,drowsy_driver,0.975,2.450,82.235,CriticalSpeedReduction
4.246,entering_flow.0,0.008,Yes,Critical,drowsy_driver,1.000,2.500,84.850,CriticalSpeedReduction
4.306,entering_flow.0,0.004,Yes,Critical,drowsy_driver,1.000,2.500,87.488,CriticalSpeedReduction
4.446,entering_flow.0,0.002,Yes,Critical,drowsy_driver,1.000,2.500,90.135,CriticalSpeedReduction
4.506,entering_flow.0,0.001,Yes,Critical,drowsy_driver,1.000,2.500,92.791,CriticalSpeedReduction
4.646,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,95.459,CriticalSpeedReduction
4.706,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,98.149,CriticalSpeedReduction
4.846,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,100.846,CriticalSpeedReduction
4.906,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,103.565,CriticalSpeedReduction
5.046,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,106.297,CriticalSpeedReduction
5.106,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,109.042,CriticalSpeedReduction
5.246,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,111.812,CriticalSpeedReduction
5.306,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,114.606,CriticalSpeedReduction
5.446,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,117.412,CriticalSpeedReduction
5.506,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,120.239,CriticalSpeedReduction
5.646,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,123.084,CriticalSpeedReduction
5.706,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,125.939,CriticalSpeedReduction
5.846,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,128.805,CriticalSpeedReduction
5.906,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,131.677,CriticalSpeedReduction
6.046,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,134.573,CriticalSpeedReduction
6.106,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,137.492,CriticalSpeedReduction
6.246,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,140.430,CriticalSpeedReduction
6.306,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,143.385,CriticalSpeedReduction
6.446,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,146.361,CriticalSpeedReduction
6.506,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,149.351,CriticalSpeedReduction
6.646,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,152.348,CriticalSpeedReduction
6.706,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,155.360,CriticalSpeedReduction
6.846,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,158.391,CriticalSpeedReduction
6.906,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,161.436,CriticalSpeedReduction
7.046,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,164.495,CriticalSpeedReduction
7.106,entering_flow.0,0.000,Yes,Critical,drowsy_driver,1.000,2.500,167.579,CriticalSpeedReduction
