Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,DrowsinessLevel,ReactionTime,Distance,Action
5.246,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,119.560,CriticalSpeedReduction
5.306,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,122.354,CriticalSpeedReduction
5.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.446,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,125.160,CriticalSpeedReduction
5.506,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,127.987,CriticalSpeedReduction
5.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.646,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,130.833,CriticalSpeedReduction
5.706,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,133.688,CriticalSpeedReduction
5.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.846,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,136.553,CriticalSpeedReduction
5.906,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,139.426,CriticalSpeedReduction
6.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.046,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,142.322,CriticalSpeedReduction
6.106,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,145.241,CriticalSpeedReduction
6.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.246,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,148.179,CriticalSpeedReduction
6.306,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,151.134,CriticalSpeedReduction
6.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.446,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,154.111,CriticalSpeedReduction
6.506,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,157.100,CriticalSpeedReduction
6.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.646,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,160.098,CriticalSpeedReduction
6.706,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,163.110,CriticalSpeedReduction
6.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.846,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,166.140,CriticalSpeedReduction
6.906,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,169.185,CriticalSpeedReduction
7.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.046,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,172.244,CriticalSpeedReduction
7.106,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,175.328,CriticalSpeedReduction
7.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.246,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,178.419,CriticalSpeedReduction
7.306,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,181.528,CriticalSpeedReduction
7.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.446,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,184.655,CriticalSpeedReduction
7.506,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,187.792,CriticalSpeedReduction
7.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.646,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,190.950,CriticalSpeedReduction
7.706,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,194.117,CriticalSpeedReduction
7.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.846,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,197.289,CriticalSpeedReduction
7.906,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,200.471,CriticalSpeedReduction
8.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.046,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,203.668,CriticalSpeedReduction
8.106,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,206.889,CriticalSpeedReduction
8.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.246,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,210.131,CriticalSpeedReduction
8.306,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,213.383,CriticalSpeedReduction
8.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.446,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,216.655,CriticalSpeedReduction
8.506,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,219.939,CriticalSpeedReduction
8.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.646,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,223.234,CriticalSpeedReduction
8.706,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,226.550,CriticalSpeedReduction
8.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.846,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,229.863,CriticalSpeedReduction
8.906,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,233.187,CriticalSpeedReduction
9.034,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.046,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,236.512,CriticalSpeedReduction
9.106,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,239.825,CriticalSpeedReduction
9.234,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.246,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,243.154,CriticalSpeedReduction
9.306,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,246.466,CriticalSpeedReduction
9.434,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.446,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,249.791,CriticalSpeedReduction
9.506,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,253.116,CriticalSpeedReduction
9.634,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.646,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,256.439,CriticalSpeedReduction
9.706,normal_flow.1,0.000,Yes,Critical,drowsy_driver,1.000,2.500,259.768,CriticalSpeedReduction
9.834,normal_flow.1,0.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
