Time,DrowsinessLevel,AlertType
0.286,0.029,0
0.386,0.072,0
0.486,0.093,0
0.586,0.142,0
0.686,0.171,0
0.786,0.205,0
0.886,0.229,0
0.986,0.269,0
1.086,0.297,0
1.186,0.319,0
1.286,0.331,0
1.386,0.363,0
1.486,0.409,0
1.586,0.432,0
1.686,0.465,0
1.786,0.473,0
1.886,0.476,0
1.986,0.482,0
2.086,0.512,0
2.186,0.525,0
2.286,0.542,0
2.386,0.561,0
2.486,0.596,0
2.586,0.621,1
2.686,0.623,1
2.786,0.639,1
2.886,0.644,1
2.986,0.658,1
3.086,0.705,1
3.186,0.713,1
3.286,0.715,1
3.386,0.750,1
3.486,0.789,1
3.586,0.821,2
3.686,0.857,2
3.786,0.878,2
3.886,0.909,2
3.986,0.921,2
4.086,0.937,2
4.186,0.969,2
4.286,0.988,2
4.386,1.000,2
4.486,1.000,2
4.586,1.000,2
4.686,1.000,2
4.786,1.000,2
4.886,1.000,2
4.986,1.000,2
5.086,1.000,2
5.186,1.000,2
5.286,1.000,2
5.386,1.000,2
5.486,1.000,2
5.586,1.000,2
5.686,1.000,2
5.786,1.000,2
5.886,1.000,2
5.986,1.000,2
6.086,1.000,2
6.186,1.000,2
6.286,1.000,2
6.386,1.000,2
6.486,1.000,2
6.586,1.000,2
6.686,1.000,2
6.786,1.000,2
6.886,1.000,2
6.986,1.000,2
7.086,1.000,2
7.186,1.000,2
7.286,1.000,2
7.386,1.000,2
7.486,1.000,2
7.586,1.000,2
7.686,1.000,2
7.786,1.000,2
7.886,1.000,2
7.986,1.000,2
8.086,1.000,2
8.186,1.000,2
8.286,1.000,2
8.386,1.000,2
8.486,1.000,2
8.586,1.000,2
8.686,1.000,2
8.786,1.000,2
8.886,1.000,2
8.986,1.000,2
9.086,1.000,2
9.186,1.000,2
9.286,1.000,2
9.386,1.000,2
9.486,1.000,2
9.586,1.000,2
9.686,1.000,2
9.786,1.000,2
9.886,1.000,2
9.986,1.000,2
10.086,1.000,2
10.186,1.000,2
10.286,1.000,2
10.386,1.000,2
10.486,1.000,2
10.586,1.000,2
10.686,1.000,2
10.786,1.000,2
10.886,1.000,2
10.986,1.000,2
11.086,1.000,2
11.186,1.000,2
11.286,1.000,2
11.386,1.000,2
11.486,1.000,2
11.586,1.000,2
11.686,1.000,2
11.786,1.000,2
11.886,1.000,2
11.986,1.000,2
12.086,1.000,2
12.186,1.000,2
12.286,1.000,2
12.386,1.000,2
12.486,1.000,2
12.586,1.000,2
12.686,1.000,2
12.786,1.000,2
12.886,1.000,2
12.986,1.000,2
13.086,1.000,2
13.186,1.000,2
13.286,1.000,2
13.386,1.000,2
13.486,1.000,2
13.586,1.000,2
13.686,1.000,2
13.786,1.000,2
13.886,1.000,2
13.986,1.000,2
14.086,1.000,2
14.186,1.000,2
14.286,1.000,2
14.386,1.000,2
14.486,1.000,2
14.586,1.000,2
14.686,1.000,2
14.786,1.000,2
14.886,1.000,2
14.986,1.000,2
15.086,1.000,2
15.186,1.000,2
15.286,1.000,2
15.386,1.000,2
15.486,1.000,2
15.586,1.000,2
15.686,1.000,2
15.786,1.000,2
15.886,1.000,2
15.986,1.000,2
16.086,1.000,2
16.186,1.000,2
16.286,1.000,2
16.386,1.000,2
16.486,1.000,2
16.586,1.000,2
16.686,1.000,2
16.786,1.000,2
16.886,1.000,2
16.986,1.000,2
17.086,1.000,2
17.186,1.000,2
17.286,1.000,2
17.386,1.000,2
17.486,1.000,2
17.586,1.000,2
17.686,1.000,2
17.786,1.000,2
17.886,1.000,2
17.986,1.000,2
18.086,1.000,2
18.186,1.000,2
18.286,1.000,2
18.386,1.000,2
18.486,1.000,2
18.586,1.000,2
18.686,1.000,2
18.786,1.000,2
18.886,1.000,2
18.986,1.000,2
19.086,1.000,2
19.186,1.000,2
19.286,1.000,2
19.386,1.000,2
19.486,1.000,2
19.586,1.000,2
19.686,1.000,2
19.786,1.000,2
19.886,1.000,2
19.986,1.000,2
20.086,1.000,2
20.186,1.000,2
20.286,1.000,2
20.386,1.000,2
20.486,1.000,2
20.586,1.000,2
20.686,1.000,2
20.786,1.000,2
20.886,1.000,2
20.986,1.000,2
21.086,1.000,2
21.186,1.000,2
21.286,1.000,2
21.386,1.000,2
21.486,1.000,2
21.586,1.000,2
21.686,1.000,2
21.786,1.000,2
21.886,1.000,2
21.986,1.000,2
22.086,1.000,2
22.186,1.000,2
22.286,1.000,2
22.386,1.000,2
22.486,1.000,2
22.586,1.000,2
22.686,1.000,2
22.786,1.000,2
