Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,Risk,CurrentLane,TargetLane,Action
8.248,emergencyVeh,30.188,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.348,emergencyVeh,30.390,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.448,emergencyVeh,30.654,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.548,emergencyVeh,30.813,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.648,emergencyVeh,30.995,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.748,emergencyVeh,31.179,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.848,emergencyVeh,31.391,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.948,emergencyVeh,31.597,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.048,emergencyVeh,31.858,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.148,emergencyVeh,32.111,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.248,emergencyVeh,32.391,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.348,emergencyVeh,32.625,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.448,emergencyVeh,32.811,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.548,emergencyVeh,33.040,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.648,emergencyVeh,33.257,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.748,emergencyVeh,33.549,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.848,emergencyVeh,33.705,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.948,emergencyVeh,33.958,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.048,emergencyVeh,34.185,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.148,emergencyVeh,34.472,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.248,emergencyVeh,34.652,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.348,emergencyVeh,34.905,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.448,emergencyVeh,35.161,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.548,emergencyVeh,35.344,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.648,emergencyVeh,35.603,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.748,emergencyVeh,35.814,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.848,emergencyVeh,36.033,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.948,emergencyVeh,35.992,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.048,emergencyVeh,35.961,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.148,emergencyVeh,36.040,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.248,emergencyVeh,36.052,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.348,emergencyVeh,36.099,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.448,emergencyVeh,36.054,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.548,emergencyVeh,36.067,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.648,emergencyVeh,36.057,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.748,emergencyVeh,36.057,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.848,emergencyVeh,35.970,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.948,emergencyVeh,36.015,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.048,emergencyVeh,35.965,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.148,emergencyVeh,35.980,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.248,emergencyVeh,36.036,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.348,emergencyVeh,35.990,No,N/A,N/A,N/A,N/A,N/A,NoAlert
