Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,Risk,CurrentLane,TargetLane,Action
2.206,vehB,30.066,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.306,vehB,30.150,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.406,vehB,30.206,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.506,vehB,30.261,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.606,vehB,30.359,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.706,vehB,30.457,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.806,vehB,30.512,No,N/A,N/A,N/A,N/A,N/A,NoAlert
2.906,vehB,30.576,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.006,vehB,30.660,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.106,vehB,30.727,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.206,vehB,30.784,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.306,vehB,30.872,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.406,vehB,30.967,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.506,vehB,31.061,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.606,vehB,31.152,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.706,vehB,31.245,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.806,vehB,31.310,No,N/A,N/A,N/A,N/A,N/A,NoAlert
3.906,vehB,31.381,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.006,vehB,31.461,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.106,vehB,31.512,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.206,vehB,31.575,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.306,vehB,31.631,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.406,vehB,31.705,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.506,vehB,31.775,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.606,vehB,31.872,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.706,vehB,31.942,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.806,vehB,32.004,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.906,vehB,32.084,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.006,vehB,32.143,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.106,vehB,32.230,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.206,vehB,32.320,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.246,vehB,32.320,Yes,LaneChange,vehA,0.592,0,1,Ignored
5.306,vehB,32.397,Yes,LaneChange,vehA,0.355,0,1,Ignored
5.506,vehB,32.526,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.606,vehB,32.619,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.706,vehB,32.675,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.806,vehB,32.743,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.906,vehB,32.798,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.006,vehB,32.872,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.106,vehB,32.955,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.206,vehB,33.013,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.306,vehB,33.070,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.406,vehB,33.158,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.506,vehB,33.236,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.606,vehB,33.319,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.706,vehB,33.281,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.806,vehB,33.298,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.906,vehB,33.303,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.006,vehB,33.291,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.106,vehB,33.287,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.206,vehB,33.323,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.306,vehB,33.299,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.406,vehB,33.300,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.506,vehB,33.327,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.606,vehB,33.300,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.706,vehB,33.310,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.806,vehB,33.303,No,N/A,N/A,N/A,N/A,N/A,NoAlert
