Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,Risk,CurrentLane,TargetLane,Action
4.284,vehC,24.983,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.384,vehC,24.958,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.484,vehC,24.949,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.584,vehC,24.967,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.684,vehC,24.969,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.784,vehC,24.948,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.884,vehC,24.944,No,N/A,N/A,N/A,N/A,N/A,NoAlert
4.984,vehC,24.975,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.084,vehC,24.995,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.184,vehC,24.994,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.246,vehC,24.951,Yes,LaneChange,vehA,0.592,0,1,Ignored
5.306,vehC,24.956,Yes,LaneChange,vehA,0.355,0,1,Ignored
5.484,vehC,24.995,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.584,vehC,24.998,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.684,vehC,24.963,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.784,vehC,24.988,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.884,vehC,24.949,No,N/A,N/A,N/A,N/A,N/A,NoAlert
5.984,vehC,24.972,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.084,vehC,24.963,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.184,vehC,24.990,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.284,vehC,24.988,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.384,vehC,24.968,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.484,vehC,24.959,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.584,vehC,24.947,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.684,vehC,24.940,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.784,vehC,24.963,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.884,vehC,24.982,No,N/A,N/A,N/A,N/A,N/A,NoAlert
6.984,vehC,24.989,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.084,vehC,24.976,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.184,vehC,24.966,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.284,vehC,24.968,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.384,vehC,24.954,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.484,vehC,25.000,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.584,vehC,24.959,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.684,vehC,24.983,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.784,vehC,24.983,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.884,vehC,24.972,No,N/A,N/A,N/A,N/A,N/A,NoAlert
7.984,vehC,24.973,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.084,vehC,24.941,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.184,vehC,24.975,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.284,vehC,24.950,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.384,vehC,24.970,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.484,vehC,24.935,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.584,vehC,24.977,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.684,vehC,24.996,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.784,vehC,24.993,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.884,vehC,24.981,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.984,vehC,24.972,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.084,vehC,24.983,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.184,vehC,24.998,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.284,vehC,24.975,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.384,vehC,24.995,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.484,vehC,24.936,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.584,vehC,24.944,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.684,vehC,24.968,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.784,vehC,24.980,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.884,vehC,24.963,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.984,vehC,24.987,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.084,vehC,24.943,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.184,vehC,24.987,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.284,vehC,24.942,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.384,vehC,24.985,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.484,vehC,24.971,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.584,vehC,24.943,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.684,vehC,24.957,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.784,vehC,24.945,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.884,vehC,24.993,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.984,vehC,24.995,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.084,vehC,24.940,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.184,vehC,24.999,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.284,vehC,24.942,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.384,vehC,24.953,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.484,vehC,24.991,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.584,vehC,24.951,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.684,vehC,24.938,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.784,vehC,24.986,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.884,vehC,24.982,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.984,vehC,24.982,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.084,vehC,24.965,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.184,vehC,24.992,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.284,vehC,24.984,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.384,vehC,24.968,No,N/A,N/A,N/A,N/A,N/A,NoAlert
