Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,Risk,CurrentLane,TargetLane,Action
7.909,vehD,33.098,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.009,vehD,32.986,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.109,vehD,32.897,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.209,vehD,32.829,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.309,vehD,32.690,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.409,vehD,32.634,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.509,vehD,32.502,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.609,vehD,32.438,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.709,vehD,32.352,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.809,vehD,32.284,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.909,vehD,32.163,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.009,vehD,32.073,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.109,vehD,32.002,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.209,vehD,31.938,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.309,vehD,31.834,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.409,vehD,31.752,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.509,vehD,31.627,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.609,vehD,31.531,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.709,vehD,31.470,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.809,vehD,31.396,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.909,vehD,31.302,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.009,vehD,31.241,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.109,vehD,31.113,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.209,vehD,31.078,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.309,vehD,30.997,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.409,vehD,30.949,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.509,vehD,30.836,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.609,vehD,30.750,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.709,vehD,30.693,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.809,vehD,30.600,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.909,vehD,30.581,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.009,vehD,30.518,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.109,vehD,30.380,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.209,vehD,30.343,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.309,vehD,30.244,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.409,vehD,30.195,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.509,vehD,30.137,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.609,vehD,30.048,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.709,vehD,29.989,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.809,vehD,29.938,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.909,vehD,29.890,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.009,vehD,29.811,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.109,vehD,29.745,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.209,vehD,29.700,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.309,vehD,29.598,No,N/A,N/A,N/A,N/A,N/A,NoAlert
