timestamp,vehicleId,speed,heading,longitude,lattitude
2.3065,376,30.15,23.6,2812.39,7494.44
2.50623,376,30.26,23.6,2814.52,7489.54
2.70623,376,30.46,23.6,2816.67,7484.62
2.9065,376,30.58,23.6,2818.83,7479.66
3.10623,376,30.73,23.6,2821.01,7474.67
3.30623,376,30.87,23.6,2823.2,7469.65
3.5065,376,31.06,23.6,2825.4,7464.6
3.70623,376,31.24,23.6,2827.62,7459.52
3.90623,376,31.38,23.6,2829.85,7454.41
4.1065,376,31.51,23.6,2832.09,7449.27
4.30623,376,31.63,23.6,2834.34,7444.1
4.38462,450,24.96,23.6,2834.34,7444.1
4.50623,376,31.78,23.6,2836.61,7438.9
4.58435,450,24.97,23.6,2836.61,7438.9
4.7065,376,31.94,23.6,2838.89,7433.67
4.78435,450,24.95,23.6,2838.89,7433.67
4.90623,376,32.08,23.6,2841.18,7428.41
4.98462,450,24.97,23.6,2841.18,7428.41
5.10623,376,32.23,23.6,2843.49,7423.13
5.18435,450,24.99,23.6,2843.49,7423.13
5.30691,376,32.4,23.6,2842.86,7416.57
5.38435,450,24.96,23.6,2842.86,7416.57
5.50623,376,32.53,23.6,2845.18,7411.24
5.58462,450,25,23.6,2845.18,7411.24
5.70623,376,32.67,23.6,2847.52,7405.88
5.78435,450,24.99,23.6,2847.52,7405.88
5.9065,376,32.8,23.6,2849.86,7400.49
5.98435,450,24.97,23.6,2849.86,7400.49
6.10623,376,32.95,23.6,2852.07,7395.02
6.18462,450,24.99,23.6,2852.07,7395.02
6.30623,376,33.07,23.6,2854.29,7389.51
6.38435,450,24.97,23.6,2854.29,7389.51
6.5065,376,33.24,23.6,2856.52,7383.96
6.58435,450,24.95,23.6,2856.52,7383.96
6.70623,376,33.28,23.6,2858.76,7378.4
6.78462,450,24.96,23.6,2858.76,7378.4
6.90623,376,33.3,23.6,2861.01,7372.81
6.98435,450,24.99,23.6,2861.01,7372.81
7.1065,376,33.29,23,2863.28,7367.19
7.18435,450,24.97,23.6,2863.28,7367.19
7.30623,376,33.3,21.9,2865.55,7361.53
7.38462,450,24.95,23.6,2865.55,7361.53
7.50623,376,33.33,21.9,2867.84,7355.85
7.58435,450,24.96,23.6,2867.84,7355.85
7.7065,376,33.31,21.9,2870.14,7350.15
7.78435,450,24.98,23.6,2870.14,7350.15
7.90623,376,33.28,21.9,2872.45,7344.41
7.98462,450,24.97,23.6,2872.45,7344.41
8.00901,524,32.99,23.6,2873.61,7341.54
8.10623,376,33.3,21.9,2874.77,7338.65
8.18435,450,24.97,23.6,2874.77,7338.65
8.20874,524,32.83,23.6,2875.93,7335.76
8.3065,376,33.29,21.9,2877.1,7332.86
8.34834,598,30.39,23.6,2877.1,7332.86
8.38435,450,24.97,23.6,2877.1,7332.86
8.40874,524,32.63,23.6,2878.27,7329.95
8.50623,376,33.3,21.9,2879.45,7327.04
8.54807,598,30.81,23.6,2879.45,7327.04
8.58462,450,24.98,23.6,2879.45,7327.04
8.60901,524,32.44,23.6,2880.62,7324.12
8.70623,376,33.28,21.9,2881.8,7321.2
8.74807,598,31.18,23.6,2881.8,7321.2
8.78435,450,24.99,23.6,2881.8,7321.2
8.80874,524,32.28,23.6,2882.98,7318.26
8.9065,376,33.32,21.9,2884.17,7315.32
8.94834,598,31.6,23.6,2884.17,7315.32
8.98435,450,24.97,23.6,2884.17,7315.32
9.00874,524,32.07,23.6,2885.35,7312.38
9.10623,376,33.3,21.9,2886.54,7309.42
9.14807,598,32.11,23.6,2886.54,7309.42
9.18462,450,25,23.6,2886.54,7309.42
9.20901,524,31.94,23.6,2887.73,7306.47
9.30623,376,33.29,21.9,2888.93,7303.51
9.34807,598,32.63,23.6,2888.93,7303.51
9.38435,450,24.99,23.6,2888.93,7303.51
9.40874,524,31.75,23.6,2890.12,7300.54
9.5065,376,33.3,21.9,2891.32,7297.56
9.54834,598,33.04,23.6,2891.32,7297.56
9.58435,450,24.94,23.6,2891.32,7297.56
9.60874,524,31.53,23.6,2892.52,7294.57
9.70623,376,33.29,21.9,2893.73,7291.58
9.74807,598,33.55,23.6,2893.73,7291.58
9.78462,450,24.98,23.6,2893.73,7291.58
9.80901,524,31.4,23.6,2894.94,7288.58
9.90623,376,33.29,21.9,2896.15,7285.57
9.94807,598,33.96,23.6,2896.15,7285.57
9.98435,450,24.99,23.6,2896.15,7285.57
10.0087,524,31.24,23.6,2897.37,7282.55
10.1065,376,33.33,21.9,2898.58,7279.53
10.1483,598,34.47,23.6,2898.58,7279.53
10.1843,450,24.99,23.6,2898.58,7279.53
10.2087,524,31.08,23.6,2899.8,7276.5
10.3062,376,33.33,21.9,2901.02,7273.47
10.3481,598,34.9,23.6,2901.02,7273.47
10.3846,450,24.98,22.9,2901.02,7273.47
