Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,Risk,CurrentLane,TargetLane,Action
8.268,emergencyVeh,30.232,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.368,emergencyVeh,30.443,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.468,emergencyVeh,30.620,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.568,emergencyVeh,30.899,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.668,emergencyVeh,31.066,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.768,emergencyVeh,31.270,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.868,emergencyVeh,31.435,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.968,emergencyVeh,31.657,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.068,emergencyVeh,31.905,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.168,emergencyVeh,32.081,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.268,emergencyVeh,32.251,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.368,emergencyVeh,32.515,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.468,emergencyVeh,32.750,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.568,emergencyVeh,33.017,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.668,emergencyVeh,33.171,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.768,emergencyVeh,33.376,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.868,emergencyVeh,33.595,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.968,emergencyVeh,33.779,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.068,emergencyVeh,33.951,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.168,emergencyVeh,34.229,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.268,emergencyVeh,34.436,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.368,emergencyVeh,34.648,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.468,emergencyVeh,34.938,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.568,emergencyVeh,35.148,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.668,emergencyVeh,35.387,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.768,emergencyVeh,35.607,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.868,emergencyVeh,35.770,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.968,emergencyVeh,35.968,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.068,emergencyVeh,36.027,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.168,emergencyVeh,35.972,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.268,emergencyVeh,35.998,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.368,emergencyVeh,35.975,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.468,emergencyVeh,36.012,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.568,emergencyVeh,35.993,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.668,emergencyVeh,36.075,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.768,emergencyVeh,36.011,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.868,emergencyVeh,35.969,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.968,emergencyVeh,36.057,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.068,emergencyVeh,35.992,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.168,emergencyVeh,35.967,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.268,emergencyVeh,35.994,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.368,emergencyVeh,35.965,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.468,emergencyVeh,36.022,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.568,emergencyVeh,36.073,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.668,emergencyVeh,36.016,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.768,emergencyVeh,36.070,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.868,emergencyVeh,36.071,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.968,emergencyVeh,36.027,No,N/A,N/A,N/A,N/A,N/A,NoAlert
