Time,VehicleID,Speed,AlertReceived,AlertType,SenderID,Risk,CurrentLane,TargetLane,Action
7.906,vehD,33.065,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.006,vehD,33.028,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.106,vehD,32.897,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.206,vehD,32.809,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.306,vehD,32.706,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.406,vehD,32.634,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.506,vehD,32.529,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.606,vehD,32.422,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.706,vehD,32.353,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.806,vehD,32.255,No,N/A,N/A,N/A,N/A,N/A,NoAlert
8.906,vehD,32.139,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.006,vehD,32.073,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.106,vehD,31.996,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.206,vehD,31.906,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.306,vehD,31.836,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.406,vehD,31.704,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.506,vehD,31.617,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.606,vehD,31.575,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.706,vehD,31.519,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.806,vehD,31.402,No,N/A,N/A,N/A,N/A,N/A,NoAlert
9.906,vehD,31.289,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.006,vehD,31.207,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.106,vehD,31.166,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.206,vehD,31.106,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.306,vehD,31.033,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.406,vehD,30.937,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.506,vehD,30.838,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.606,vehD,30.748,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.706,vehD,30.613,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.806,vehD,30.501,No,N/A,N/A,N/A,N/A,N/A,NoAlert
10.906,vehD,30.419,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.006,vehD,30.284,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.106,vehD,30.218,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.206,vehD,30.115,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.306,vehD,30.019,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.406,vehD,29.939,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.506,vehD,29.826,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.606,vehD,29.739,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.706,vehD,29.672,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.806,vehD,29.546,No,N/A,N/A,N/A,N/A,N/A,NoAlert
11.906,vehD,29.411,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.006,vehD,29.319,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.106,vehD,29.266,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.206,vehD,29.201,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.306,vehD,29.086,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.406,vehD,28.963,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.506,vehD,28.917,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.606,vehD,28.784,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.706,vehD,28.725,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.806,vehD,28.648,No,N/A,N/A,N/A,N/A,N/A,NoAlert
12.906,vehD,28.511,No,N/A,N/A,N/A,N/A,N/A,NoAlert
