timestamp,vehicleId,speed,heading,longitude,lattitude
5.18628,18,38.21,21.9,2786.73,7545.27
5.386,18,37.74,21.9,2788.35,7541.56
5.586,18,36.84,21.9,2790,7537.78
5.78628,18,35.94,21.9,2791.68,7533.92
5.986,18,35.04,21.9,2793.39,7529.99
6.186,18,34.14,21.9,2795.14,7525.99
6.38628,18,33.24,21.9,2796.91,7521.93
6.586,18,32.34,21.9,2798.72,7517.78
6.786,18,31.44,21.9,2800.57,7513.55
6.98628,18,30.54,21.9,2802.44,7509.24
7.186,18,29.64,21.9,2804.35,7504.86
7.386,18,28.74,21.9,2806.29,7500.43
7.58628,18,27.84,21.9,2808.25,7495.92
7.786,18,26.94,21.9,2810.24,7491.36
7.986,18,26.04,21.9,2812.26,7486.72
8.18628,18,25.14,21.9,2814.32,7482.01
8.386,18,24.24,21.9,2816.4,7477.23
8.586,18,23.34,21.9,2818.51,7472.39
8.78628,18,22.44,21.9,2820.66,7467.48
8.986,18,21.54,21.9,2822.83,7462.5
9.186,18,20.64,21.9,2825.04,7457.43
9.38628,18,19.74,21.9,2827.28,7452.28
9.586,18,19.09,21.9,2829.55,7447.08
9.786,18,19.09,21.9,2831.86,7441.8
9.98628,18,19.09,21.9,2834.2,7436.43
10.186,18,19.09,21.9,2836.57,7431
10.3838,450,33.25,23.6,2838.97,7425.48
10.386,18,19.09,21.9,2838.97,7425.48
10.5835,450,32.77,23.6,2841.4,7419.91
10.5863,18,19.09,21.9,2841.4,7419.91
10.7835,450,31.87,23.6,2843.87,7414.26
10.9838,450,30.97,23.6,2846.36,7408.53
11.1835,450,30.07,23.6,2848.9,7402.72
11.3835,450,29.17,23.6,2851.36,7396.78
11.5838,450,28.27,23.6,2853.79,7390.74
11.7835,450,27.37,23.6,2856.25,7384.63
11.9835,450,26.47,23.6,2858.73,7378.47
12.1838,450,25.57,23.6,2861.21,7372.3
12.3835,450,24.67,23.6,2863.7,7366.14
12.5835,450,23.77,23.6,2866.19,7359.96
12.7838,450,22.87,23.6,2868.67,7353.78
12.9835,450,21.97,23.6,2871.16,7347.61
13.1835,450,21.07,23.6,2873.65,7341.43
13.3838,450,20.17,23.6,2876.14,7335.26
13.5835,450,19.27,23.6,2878.62,7329.09
13.7835,450,18.37,23.6,2881.11,7322.92
13.9838,450,17.47,23.6,2883.59,7316.75
14.1835,450,16.61,23.6,2886.08,7310.58
14.3835,450,16.61,23.6,2888.56,7304.4
14.5838,450,16.61,23.6,2891.05,7298.23
14.7835,450,16.61,23.6,2893.54,7292.05
14.9835,450,16.61,23.6,2896.02,7285.89
15.1838,450,16.61,23.6,2898.51,7279.72
15.3835,450,16.61,23.6,2900.99,7273.55
15.3887,524,38.59,23.6,2900.99,7273.55
15.5835,450,16.61,23.6,2903.48,7267.37
15.5884,524,37.69,23.6,2903.48,7267.37
15.7884,524,36.79,23.6,2905.97,7261.2
15.9887,524,35.89,23.6,2908.45,7255.03
16.1884,524,34.99,23.6,2910.94,7248.85
16.3884,524,34.09,23.6,2913.43,7242.68
16.5887,524,33.19,23.6,2915.91,7236.51
16.7884,524,32.29,23.6,2918.4,7230.33
16.9884,524,31.39,23.6,2920.89,7224.16
17.1887,524,30.49,23.6,2923.37,7217.98
17.3884,524,29.59,23.6,2925.86,7211.82
17.5884,524,28.69,23.6,2928.34,7205.65
17.7887,524,27.79,23.6,2930.83,7199.47
17.9884,524,26.89,23.6,2933.32,7193.3
18.1884,524,25.99,23.6,2935.8,7187.12
18.3887,524,25.09,23.6,2938.29,7180.95
18.5884,524,24.19,23.6,2940.78,7174.78
18.7884,524,23.29,23.6,2943.26,7168.61
18.9887,524,22.39,23.6,2945.75,7162.44
19.1884,524,21.49,23.6,2948.23,7156.28
19.3884,524,20.59,23.6,2950.72,7150.1
19.5887,524,19.69,23.6,2953.2,7143.94
19.7884,524,19.07,23.6,2956.05,7137.94
19.9884,524,19.07,23.6,2958.97,7131.96
20.1887,524,19.07,23.6,2961.89,7125.98
20.3884,524,19.07,23.6,2964.81,7120
20.5884,524,19.07,23.6,2967.72,7114.02
